Run	gain	Running avg
1	4	0.000000
2	2	0.000000
3	2	0.000000
4	2	0.000000
5	16	0.200000
6	2	0.166667
7	2	0.142857
8	8	0.125000
9	2	0.111111
10	4	0.100000
11	8	0.090909
12	4	0.083333
13	4	0.076923
14	2	0.071429
15	2	0.066667
16	2	0.062500
17	16	0.117647
18	16	0.166667
19	2	0.157895
20	2	0.150000
21	8	0.142857
22	4	0.136364
23	2	0.130435
24	2	0.125000
25	8	0.120000
26	2	0.115385
27	8	0.111111
28	16	0.142857
29	2	0.137931
30	2	0.133333
31	4	0.129032
32	4	0.125000
33	2	0.121212
34	16	0.147059
35	8	0.142857
36	2	0.138889
37	2	0.135135
38	2	0.131579
39	4	0.128205
40	128	0.150000
41	2	0.146341
42	4	0.142857
43	2	0.139535
44	4	0.136364
45	2	0.133333
46	8	0.130435
47	2	0.127660
48	2	0.125000
49	4	0.122449
50	2	0.120000
51	2	0.117647
52	16	0.134615
53	4	0.132075
54	2	0.129630
55	4	0.127273
56	2	0.125000
57	2	0.122807
58	2	0.120690
59	4	0.118644
60	2	0.116667
61	8	0.114754
62	4	0.112903
63	4	0.111111
64	2	0.109375
65	4	0.107692
66	2	0.106061
67	4	0.104478
68	8	0.102941
69	32	0.115942
70	8	0.114286
71	2	0.112676
72	8	0.111111
73	4	0.109589
74	4	0.108108
75	4	0.106667
76	2	0.105263
77	8	0.103896
78	2	0.102564
79	2	0.101266
80	2	0.100000
81	2	0.098765
82	8	0.097561
83	2	0.096386
84	4	0.095238
85	2	0.094118
86	8	0.093023
87	4	0.091954
88	8	0.090909
89	32	0.101124
90	2	0.100000
91	4	0.098901
92	4	0.097826
93	64	0.107527
94	8	0.106383
95	2	0.105263
96	4	0.104167
97	2	0.103093
98	2	0.102041
99	32	0.111111
100	2	0.110000
101	8	0.108911
102	2	0.107843
103	8	0.106796
104	4	0.105769
105	4	0.104762
106	16	0.113208
107	2	0.112150
108	2	0.111111
109	2	0.110092
110	2	0.109091
111	2	0.108108
112	2	0.107143
113	8	0.106195
114	2	0.105263
115	2	0.104348
116	2	0.103448
117	4	0.102564
118	8	0.101695
119	8	0.100840
120	2	0.100000
121	4	0.099174
122	16	0.106557
123	2	0.105691
124	4	0.104839
125	2	0.104000
126	8	0.103175
127	2	0.102362
128	8	0.101562
129	4	0.100775
130	2	0.100000
131	2	0.099237
132	32	0.106061
133	2	0.105263
134	2	0.104478
135	2	0.103704
136	2	0.102941
137	4	0.102190
138	2	0.101449
139	4	0.100719
140	4	0.100000
141	8	0.099291
142	2	0.098592
143	2	0.097902
144	2	0.097222
145	2	0.096552
146	4	0.095890
147	4	0.095238
148	4	0.094595
149	4	0.093960
150	2	0.093333
151	2	0.092715
152	2	0.092105
153	8	0.091503
154	4	0.090909
155	32	0.096774
156	2	0.096154
157	8	0.095541
158	2	0.094937
159	32	0.100629
160	2	0.100000
161	4	0.099379
162	2	0.098765
163	2	0.098160
164	8	0.097561
165	4	0.096970
166	2	0.096386
167	4	0.095808
168	32	0.101190
169	2	0.100592
170	2	0.100000
171	2	0.099415
172	16	0.104651
173	4	0.104046
174	2	0.103448
175	8	0.102857
176	8	0.102273
177	16	0.107345
178	4	0.106742
179	8	0.106145
180	8	0.105556
181	4	0.104972
182	16	0.109890
183	2	0.109290
184	8	0.108696
185	8	0.108108
186	32	0.112903
187	2	0.112299
188	2	0.111702
189	4	0.111111
190	2	0.110526
191	4	0.109948
192	8	0.109375
193	2	0.108808
194	32	0.113402
195	16	0.117949
196	2	0.117347
197	2	0.116751
198	2	0.116162
199	2	0.115578
200	16	0.120000
201	2	0.119403
202	2	0.118812
203	128	0.123153
204	2	0.122549
205	2	0.121951
206	2	0.121359
207	2	0.120773
208	2	0.120192
209	128	0.124402
210	4	0.123810
211	4	0.123223
212	2	0.122642
213	2	0.122066
214	4	0.121495
215	2	0.120930
216	2	0.120370
217	4	0.119816
218	16	0.123853
219	32	0.127854
220	8	0.127273
221	64	0.131222
222	4	0.130631
223	4	0.130045
224	2	0.129464
225	4	0.128889
226	16	0.132743
227	2	0.132159
228	4	0.131579
229	16	0.135371
230	2	0.134783
231	2	0.134199
232	2	0.133621
233	4	0.133047
234	4	0.132479
235	8	0.131915
236	2	0.131356
237	2	0.130802
238	2	0.130252
239	4	0.129707
240	8	0.129167
241	2	0.128631
242	2	0.128099
243	2	0.127572
244	2	0.127049
245	2	0.126531
246	2	0.126016
247	2	0.125506
248	4	0.125000
249	128	0.128514
250	16	0.132000
251	16	0.135458
252	2	0.134921
253	4	0.134387
254	32	0.137795
255	2	0.137255
256	2	0.136719
257	2	0.136187
258	16	0.139535
259	2	0.138996
260	8	0.138462
261	2	0.137931
262	4	0.137405
263	2	0.136882
264	4	0.136364
265	2	0.135849
266	4	0.135338
267	4	0.134831
268	2	0.134328
269	2	0.133829
270	2	0.133333
271	2	0.132841
272	8	0.132353
273	4	0.131868
274	16	0.135036
275	2	0.134545
276	8	0.134058
277	16	0.137184
278	4	0.136691
279	4	0.136201
280	8	0.135714
281	2	0.135231
282	4	0.134752
283	2	0.134276
284	64	0.137324
285	2	0.136842
286	4	0.136364
287	128	0.139373
288	2	0.138889
289	2	0.138408
290	2	0.137931
291	2	0.137457
292	2	0.136986
293	4	0.136519
294	2	0.136054
295	2	0.135593
296	2	0.135135
297	2	0.134680
298	4	0.134228
299	4	0.133779
300	2	0.133333
301	8	0.132890
302	2	0.132450
303	2	0.132013
304	2	0.131579
305	2	0.131148
306	2	0.130719
307	2	0.130293
308	8	0.129870
309	16	0.132686
310	4	0.132258
311	2	0.131833
312	2	0.131410
313	8	0.130990
314	2	0.130573
315	8	0.130159
316	4	0.129747
317	2	0.129338
318	4	0.128931
319	4	0.128527
320	2	0.128125
321	2	0.127726
322	2	0.127329
323	8	0.126935
324	2	0.126543
325	2	0.126154
326	2	0.125767
327	8	0.125382
328	8	0.125000
329	8	0.124620
330	8	0.124242
331	2	0.123867
332	4	0.123494
333	8	0.123123
334	4	0.122754
335	4	0.122388
336	2	0.122024
337	2	0.121662
338	4	0.121302
339	16	0.123894
340	2	0.123529
341	2	0.123167
342	32	0.125731
343	2	0.125364
344	64	0.127907
345	4	0.127536
346	2	0.127168
347	8	0.126801
348	4	0.126437
349	2	0.126074
350	8	0.125714
351	2	0.125356
352	4	0.125000
353	16	0.127479
354	4	0.127119
355	2	0.126761
356	4	0.126404
357	2	0.126050
358	2	0.125698
359	8	0.125348
360	8	0.125000
361	4	0.124654
362	4	0.124309
363	4	0.123967
364	2	0.123626
365	2	0.123288
366	2	0.122951
367	2	0.122616
368	2	0.122283
369	32	0.124661
370	32	0.127027
371	4	0.126685
372	128	0.129032
373	8	0.128686
374	4	0.128342
375	2	0.128000
376	4	0.127660
377	8	0.127321
378	4	0.126984
379	2	0.126649
380	2	0.126316
381	4	0.125984
382	2	0.125654
383	2	0.125326
384	2	0.125000
385	2	0.124675
386	4	0.124352
387	8	0.124031
388	4	0.123711
389	16	0.125964
390	2	0.125641
391	4	0.125320
392	4	0.125000
393	2	0.124682
394	2	0.124365
395	2	0.124051
396	4	0.123737
397	8	0.123426
398	2	0.123116
399	16	0.125313
400	8	0.125000
401	8	0.124688
402	4	0.124378
403	2	0.124069
404	2	0.123762
405	32	0.125926
406	4	0.125616
407	2	0.125307
408	8	0.125000
409	4	0.124694
410	16	0.126829
411	2	0.126521
412	16	0.128641
413	256	0.130751
414	4	0.130435
415	8	0.130120
416	2	0.129808
417	2	0.129496
418	2	0.129187
419	2	0.128878
420	2	0.128571
421	2	0.128266
422	2	0.127962
423	2	0.127660
424	2	0.127358
425	16384	0.129412
426	4	0.129108
427	4	0.128806
428	2	0.128505
429	4	0.128205
430	128	0.130233
431	8	0.129930
432	8	0.129630
433	2	0.129330
434	4	0.129032
435	2	0.128736
436	8	0.128440
437	16	0.130435
438	8	0.130137
439	16	0.132118
440	2	0.131818
441	2	0.131519
442	2	0.131222
443	2	0.130926
444	8	0.130631
445	2	0.130337
446	4	0.130045
447	2	0.129754
448	2	0.129464
449	8	0.129176
450	2	0.128889
451	2	0.128603
452	2	0.128319
453	8	0.128035
454	16	0.129956
455	2	0.129670
456	8	0.129386
457	2	0.129103
458	2	0.128821
459	2	0.128540
460	16	0.130435
461	4	0.130152
462	128	0.132035
463	8	0.131749
464	2	0.131466
465	4	0.131183
466	8	0.130901
467	8	0.130621
468	4	0.130342
469	2	0.130064
470	2	0.129787
471	16	0.131635
472	4	0.131356
473	2	0.131078
474	4	0.130802
475	16	0.132632
476	128	0.134454
477	2	0.134172
478	4	0.133891
479	4	0.133612
480	32	0.135417
481	4	0.135135
482	2	0.134855
483	8	0.134576
484	2	0.134298
485	2	0.134021
486	2	0.133745
487	2	0.133470
488	2	0.133197
489	4	0.132924
490	2	0.132653
491	2	0.132383
492	4	0.132114
493	2	0.131846
494	4	0.131579
495	2	0.131313
496	32	0.133065
497	4	0.132797
498	2	0.132530
499	8	0.132265
500	2	0.132000
501	4	0.131737
502	8	0.131474
503	2	0.131213
504	4	0.130952
505	2	0.130693
506	4	0.130435
507	4	0.130178
508	16	0.131890
509	16	0.133595
510	2	0.133333
511	4	0.133072
512	4	0.132812
513	2	0.132554
514	2	0.132296
515	8	0.132039
516	2	0.131783
517	4	0.131528
518	16	0.133205
519	8	0.132948
520	2	0.132692
521	2	0.132438
522	4	0.132184
523	4	0.131931
524	4	0.131679
525	2	0.131429
526	2	0.131179
527	4	0.130930
528	4	0.130682
529	4	0.130435
530	4	0.130189
531	32	0.131827
532	4	0.131579
533	2	0.131332
534	2	0.131086
535	4	0.130841
536	4	0.130597
537	2	0.130354
538	2	0.130112
539	4	0.129870
540	64	0.131481
541	2	0.131238
542	8	0.130996
543	2	0.130755
544	2	0.130515
545	8	0.130275
546	4	0.130037
547	2	0.129799
548	8	0.129562
549	2	0.129326
550	4	0.129091
551	2	0.128857
552	4	0.128623
553	4	0.128391
554	2	0.128159
555	4	0.127928
556	2	0.127698
557	2	0.127469
558	4	0.127240
559	2	0.127013
560	2	0.126786
561	32	0.128342
562	32	0.129893
563	32	0.131439
564	2	0.131206
565	2	0.130973
566	2	0.130742
567	8	0.130511
568	2	0.130282
569	8	0.130053
570	4	0.129825
571	2	0.129597
572	2	0.129371
573	2	0.129145
574	8	0.128920
575	2	0.128696
576	4	0.128472
577	32	0.129983
578	4	0.129758
579	8	0.129534
580	8	0.129310
581	2	0.129088
582	8	0.128866
583	4	0.128645
584	2	0.128425
585	4	0.128205
586	2	0.127986
587	8	0.127768
588	2	0.127551
589	8	0.127334
590	2	0.127119
591	2	0.126904
592	1024	0.128378
593	2	0.128162
594	4	0.127946
595	16	0.129412
596	2	0.129195
597	4	0.128978
598	8	0.128763
599	64	0.130217
600	2	0.130000
601	16	0.131448
602	8	0.131229
603	4	0.131012
604	2	0.130795
605	8	0.130579
606	4	0.130363
607	8	0.130148
608	2	0.129934
609	2	0.129721
610	2	0.129508
611	2	0.129296
612	8	0.129085
613	8	0.128874
614	2	0.128664
615	2	0.128455
616	32	0.129870
617	4	0.129660
618	4	0.129450
619	2	0.129241
620	4	0.129032
621	8	0.128824
622	2	0.128617
623	16	0.130016
624	2	0.129808
625	2	0.129600
626	2	0.129393
627	128	0.130781
628	2	0.130573
629	16	0.131955
630	16	0.133333
631	2	0.133122
632	2	0.132911
633	4	0.132701
634	8	0.132492
635	2	0.132283
636	256	0.133648
637	32	0.135008
638	2	0.134796
639	2	0.134585
640	8	0.134375
641	4	0.134165
642	2	0.133956
643	4	0.133748
644	32	0.135093
645	4	0.134884
646	16	0.136223
647	8	0.136012
648	2	0.135802
649	2	0.135593
650	16	0.136923
651	2	0.136713
652	4	0.136503
653	4	0.136294
654	2	0.136086
655	4	0.135878
656	2	0.135671
657	4	0.135464
658	8	0.135258
659	2	0.135053
660	2	0.134848
661	16	0.136157
662	2	0.135952
663	32	0.137255
664	2	0.137048
665	4	0.136842
666	4	0.136637
667	4	0.136432
668	4	0.136228
669	4	0.136024
670	2	0.135821
671	4	0.135618
672	8	0.135417
673	2	0.135215
674	2	0.135015
675	64	0.136296
676	2	0.136095
677	2	0.135894
678	16	0.137168
679	8	0.136966
680	4	0.136765
681	16	0.138032
682	8	0.137830
683	8	0.137628
684	2	0.137427
685	4	0.137226
686	2	0.137026
687	2	0.136827
688	128	0.138081
689	4	0.137881
690	2	0.137681
691	2	0.137482
692	4	0.137283
693	2	0.137085
694	16	0.138329
695	2	0.138129
696	2	0.137931
697	2	0.137733
698	2	0.137536
699	4	0.137339
700	4	0.137143
701	4	0.136947
702	4	0.136752
703	2	0.136558
704	2	0.136364
705	2	0.136170
706	2	0.135977
707	2	0.135785
708	4	0.135593
709	32	0.136812
710	2	0.136620
711	2	0.136428
712	2	0.136236
713	4	0.136045
714	2	0.135854
715	2	0.135664
716	2	0.135475
717	2	0.135286
718	4	0.135097
719	2	0.134910
720	2	0.134722
721	4	0.134535
722	2	0.134349
723	2	0.134163
724	2	0.133978
725	4	0.133793
726	2	0.133609
727	2	0.133425
728	4	0.133242
729	2	0.133059
730	32	0.134247
731	2	0.134063
732	2	0.133880
733	4	0.133697
734	16	0.134877
735	32	0.136054
736	2	0.135870
737	4	0.135685
738	4	0.135501
739	8	0.135318
740	2	0.135135
741	2	0.134953
742	2	0.134771
743	4	0.134590
744	8	0.134409
745	8	0.134228
746	2	0.134048
747	4	0.133869
748	4	0.133690
749	2	0.133511
750	64	0.134667
751	2	0.134487
752	8	0.134309
753	2	0.134130
754	4	0.133952
755	4	0.133775
756	4	0.133598
757	8	0.133421
758	4	0.133245
759	8	0.133070
760	2	0.132895
761	4	0.132720
762	4	0.132546
763	4	0.132372
764	16	0.133508
765	16	0.134641
