Run	nr_successes	Running avg
1	1	0.000000
2	2	0.000000
3	3	0.000000
4	2	0.000000
5	3	0.000000
6	2	0.000000
7	3	0.000000
8	4	0.000000
9	4	0.000000
10	1	0.000000
11	3	0.000000
12	2	0.000000
13	2	0.000000
14	3	0.000000
15	2	0.000000
16	3	0.000000
17	2	0.000000
18	2	0.000000
19	2	0.000000
20	2	0.000000
21	2	0.000000
22	4	0.000000
23	4	0.000000
24	2	0.000000
25	2	0.000000
26	1	0.000000
27	4	0.000000
28	3	0.000000
29	3	0.000000
30	3	0.000000
31	2	0.000000
32	4	0.000000
33	3	0.000000
34	3	0.000000
35	1	0.000000
36	1	0.000000
37	2	0.000000
38	1	0.000000
39	3	0.000000
40	4	0.000000
41	3	0.000000
42	3	0.000000
43	2	0.000000
44	3	0.000000
45	4	0.000000
46	4	0.000000
47	2	0.000000
48	2	0.000000
49	3	0.000000
50	3	0.000000
51	3	0.000000
52	2	0.000000
53	2	0.000000
54	4	0.000000
55	3	0.000000
56	1	0.000000
57	3	0.000000
58	2	0.000000
59	3	0.000000
60	3	0.000000
61	4	0.000000
62	1	0.000000
63	4	0.000000
64	1	0.000000
65	1	0.000000
66	2	0.000000
67	1	0.000000
68	2	0.000000
69	2	0.000000
70	2	0.000000
71	1	0.000000
72	4	0.000000
73	2	0.000000
74	4	0.000000
75	4	0.000000
76	4	0.000000
77	2	0.000000
78	3	0.000000
79	1	0.000000
80	2	0.000000
81	5	0.012346
82	1	0.012195
83	3	0.012048
84	2	0.011905
85	4	0.011765
86	3	0.011628
87	2	0.011494
88	4	0.011364
89	2	0.011236
90	3	0.011111
91	2	0.010989
92	2	0.010870
93	1	0.010753
94	5	0.021277
95	2	0.021053
96	2	0.020833
97	3	0.020619
98	3	0.020408
99	3	0.020202
100	1	0.020000
101	2	0.019802
102	3	0.019608
103	3	0.019417
104	2	0.019231
105	3	0.019048
106	3	0.018868
107	3	0.018692
108	4	0.018519
109	3	0.018349
110	3	0.018182
111	3	0.018018
112	3	0.017857
113	3	0.017699
114	2	0.017544
115	4	0.017391
116	3	0.017241
117	3	0.017094
118	4	0.016949
119	5	0.025210
120	1	0.025000
121	2	0.024793
122	5	0.032787
123	2	0.032520
124	2	0.032258
125	4	0.032000
126	2	0.031746
127	1	0.031496
128	3	0.031250
129	3	0.031008
